srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
72.68.138.223,52838,14.127.107.136,53,tcp,FIN,10.266546,6324,81192,31,31,10,88,ssl,615.9813,7908.4046,12,136,255,255,2359118468,3101308249,527,597,3,919,30.574102,16.231757,1421934919,1422009459,407.961078,411.965893,0.21928,0.482614,0.088368,0,0,0,0,0,13,9,5,5,1,2,4,Exploits,1
187.222.188.37,60148,123.47.253.46,22,icmp,INT,12.235118,137538,61056,255,62,45,48,ssl,11241.2483,4990.2257,162,192,0,0,0,0,849,318,3,965,36.474,32.378214,1421930172,1421968067,81.459324,88.867135,0.0,0.0,0.0,0,3,1,0,0,3,5,1,4,1,2,15,Reconnaissance,1
99.10.56.211,1912,196.22.67.63,8080,arp,CON,6.014028,8640,43225,62,253,68,9,ssl,1436.6411,7187.3626,135,35,0,0,0,0,64,1235,0,811,48.318038,47.880885,1421941352,1421998503,368.065755,169.194959,0.0,0.0,0.0,0,5,0,0,0,7,5,4,5,2,1,5,Worms,1
212.22.52.139,20471,27.212.72.0,80,arp,FIN,9.270799,21855,76033,62,29,7,109,ssh,2357.402,8201.3427,15,139,0,0,0,0,1457,547,1,361,32.76823,11.29422,1421977843,1421942147,245.910288,495.384027,0.0,0.0,0.0,0,1,0,0,0,10,12,1,5,2,1,6,Reconnaissance,1
39.154.146.89,58394,27.138.255.169,443,tcp,RST,36.270383,51796,74665,63,253,45,102,dns,1428.0522,2058.5666,46,109,0,0,629595345,634711065,1126,685,3,738,39.842537,48.816962,1421936236,1421942246,288.92144,479.792657,0.278476,0.045224,0.497386,0,1,3,0,0,12,11,4,4,2,3,7,,0
137.117.196.21,39098,184.215.112.179,53,icmp,REQ,8.293277,138432,53134,255,254,92,0,ftp,16692.0748,6406.8763,168,62,0,0,0,0,824,857,0,371,27.918723,47.880789,1421941852,1421935222,455.680964,180.429268,0.0,0.0,0.0,0,6,1,0,0,10,15,2,5,2,1,4,Fuzzers,1
96.27.54.169,39140,19.244.80.7,80,tcp,ACC,44.819722,10323,137594,31,253,9,20,ftp,230.3227,3069.9432,31,178,0,0,3494863255,783507306,333,773,5,143,37.405356,34.928196,1421966671,1421989042,205.761242,168.668495,0.781397,0.347624,0.143385,0,1,0,0,0,2,20,2,5,1,1,7,,0
41.139.47.133,25767,33.108.205.158,53,arp,REQ,33.249355,71489,91396,64,253,50,47,snmp,2150.0868,2748.8052,67,146,0,0,0,0,1067,626,4,861,3.860462,34.62133,1421989989,1421968464,326.349976,202.549937,0.0,0.0,0.0,0,3,1,0,0,2,12,4,2,2,1,2,DoS,1
17.108.5.193,60641,80.96.103.163,53,icmp,REQ,36.19141,45580,4039,63,30,34,1,ssl,1259.4149,111.6011,86,7,0,0,0,0,530,577,4,45,28.186966,39.511285,1421933401,1421933711,157.290146,471.754571,0.0,0.0,0.0,0,0,2,0,0,10,13,5,2,2,2,12,,0
7.195.244.150,57962,219.19.148.41,80,udp,ECO,42.159409,21850,86604,62,31,2,80,dns,518.271,2054.2034,25,84,0,0,0,0,874,1031,5,237,44.220103,40.373802,1422013163,1421945877,384.412858,80.523513,0.0,0.0,0.0,0,4,2,0,0,15,5,3,3,2,3,14,Reconnaissance,1
40.254.49.206,2003,37.158.44.127,53,tcp,ECO,53.440796,165767,85086,64,30,80,43,ftp-data,3101.8812,1592.1544,199,174,0,0,1560483032,383236692,833,489,1,727,38.597026,12.897205,1421989445,1421960971,381.573185,221.022694,0.924161,0.469915,0.48584,0,3,0,0,0,12,10,4,4,3,3,3,DoS,1
68.21.29.189,52836,63.4.79.218,53,icmp,RST,30.748755,128800,13600,254,254,96,20,ssl,4188.7875,442.2943,160,80,0,0,0,0,805,170,3,874,3.648934,19.41115,1421988005,1421939669,174.468981,234.244349,0.0,0.0,0.0,0,4,3,0,0,4,3,2,1,2,2,4,Generic,1
72.232.19.139,11230,121.74.109.81,21,icmp,FIN,3.868292,91080,66990,255,30,76,97,-,23545.2753,17317.7206,88,154,0,0,0,0,1035,435,2,808,21.505487,23.670482,1421934502,1421955134,434.010301,476.322505,0.0,0.0,0.0,0,5,3,0,0,9,9,2,1,1,1,5,DoS,1
48.27.47.229,60113,110.175.152.42,80,tcp,ACC,17.900208,164517,123510,64,63,107,61,pop3,9190.7871,6899.9198,183,115,0,255,2564647996,2647900506,899,1074,2,680,49.318397,46.948453,1421968900,1421929273,75.25314,229.329534,0.147487,0.432151,0.056803,0,5,3,0,0,9,17,1,4,1,3,8,DoS,1
56.178.107.243,13551,174.7.189.208,443,tcp,FIN,2.189158,171900,68448,63,253,77,19,snmp,78523.3409,31266.8158,191,48,0,255,1958494300,1762597948,900,1426,2,848,27.123351,26.158491,1421971431,1421942274,463.174429,229.411782,0.373121,0.276377,0.081329,0,3,3,0,0,10,14,3,5,1,1,13,Worms,1
129.16.148.218,28591,55.114.232.141,22,tcp,CON,38.977475,39816,106680,62,254,50,60,dns,1021.5131,2736.9654,158,105,255,255,3183228152,1218071716,252,1016,5,270,15.369834,45.133653,1421981771,1421959075,2.078779,454.529525,0.032675,0.013123,0.395255,0,6,2,0,0,11,6,5,4,1,3,7,,0
104.162.81.111,16160,26.64.60.161,21,arp,CLO,49.712994,44844,142027,254,31,66,107,snmp,902.0579,2856.9392,148,109,0,0,0,0,303,1303,1,971,16.120232,4.662721,1421930774,1421984747,5.769061,385.016116,0.0,0.0,0.0,0,1,0,0,0,20,18,1,5,2,1,12,,0
77.99.125.185,52143,207.193.133.168,53,udp,RST,59.004851,125999,61502,64,62,21,36,-,2135.4007,1042.3211,163,161,0,0,0,0,773,382,5,593,43.346952,5.546576,1422005519,1421943494,53.538327,141.231519,0.0,0.0,0.0,0,1,0,0,0,3,16,3,2,2,1,8,Backdoors,1
81.230.82.46,20603,3.91.16.30,443,tcp,ACC,24.824708,24500,68800,254,253,61,157,ssl,986.92,2771.4324,125,160,0,0,522240599,2603225974,196,430,4,23,25.899746,38.048049,1421955765,1421975240,57.394228,108.478893,0.32754,0.109881,0.363872,0,1,2,0,0,9,16,2,1,2,3,9,Analysis,1
45.101.143.246,26768,27.159.84.203,80,icmp,ECO,28.022625,138303,90909,64,63,110,57,ssh,4935.4049,3244.1286,127,111,0,0,0,0,1089,819,4,765,13.583696,15.937434,1421941511,1422007013,191.522924,99.860387,0.0,0.0,0.0,0,2,2,0,0,3,15,2,1,3,2,10,Worms,1
47.165.219.202,13208,92.125.37.55,25,icmp,ACC,36.232926,126326,110025,31,30,95,37,smtp,3486.4973,3036.6027,166,135,0,0,0,0,761,815,0,9,15.929457,0.545051,1421970519,1421955433,232.688314,397.619711,0.0,0.0,0.0,0,1,0,0,0,13,10,5,2,3,1,2,DoS,1
82.163.101.50,4278,206.252.255.11,443,icmp,CLO,42.975937,208980,25137,254,253,30,3,pop3,4862.7212,584.9087,172,19,0,0,0,0,1215,1323,1,615,16.343738,19.142876,1422002965,1421930201,142.518457,321.833304,0.0,0.0,0.0,0,6,0,0,0,15,10,2,4,1,3,15,Shellcode,1
71.162.177.102,6251,143.160.252.156,53,tcp,CLO,20.243392,5010,3298,254,63,2,14,pop3,247.4882,162.9174,5,17,0,255,441280475,962134345,1002,194,0,142,5.256785,16.142952,1421984519,1421957081,85.095726,95.579847,0.902276,0.18444,0.45144,0,0,0,0,0,9,2,1,1,2,1,5,Shellcode,1
82.75.211.163,30304,172.62.123.147,22,arp,ECO,16.194723,54296,33005,62,31,17,20,pop3,3352.697,2038.0095,44,35,0,0,0,0,1234,943,1,94,13.190602,14.811709,1421938266,1421973683,279.257617,436.436166,0.0,0.0,0.0,0,5,1,0,0,3,3,4,1,1,1,11,Reconnaissance,1
195.159.232.167,11116,218.54.66.56,443,arp,CLO,49.110687,12446,86428,64,252,28,111,ssl,253.4275,1759.8614,49,124,0,0,0,0,254,697,4,207,39.001053,9.397674,1421963830,1421982869,82.098162,153.57339,0.0,0.0,0.0,0,6,0,0,0,5,15,1,1,1,1,15,,0
31.43.181.110,14921,39.203.220.130,443,udp,FIN,16.0054,137494,156663,128,63,56,69,smtp,8590.4757,9788.134,122,169,0,0,0,0,1127,927,0,50,32.431087,36.60008,1421982803,1421952833,147.002947,201.346052,0.0,0.0,0.0,0,4,2,0,0,17,20,4,5,2,1,11,Generic,1
17.51.141.57,58866,159.207.200.100,53,udp,REQ,57.538303,8436,2117,127,62,46,26,ftp-data,146.6154,36.7929,57,29,0,0,0,0,148,73,3,210,8.551456,10.178774,1422010893,1421965161,352.926674,143.989316,0.0,0.0,0.0,0,0,0,0,0,6,17,5,4,3,2,14,,0
37.6.242.109,22916,6.90.135.225,53,udp,INT,10.213954,66675,6511,128,254,173,0,ssl,6527.8344,637.4613,175,17,0,0,0,0,381,383,2,992,23.691508,0.050324,1421959855,1421989354,54.692999,409.463219,0.0,0.0,0.0,0,4,2,0,0,8,17,5,2,1,1,2,Backdoors,1
94.234.6.211,24133,78.170.247.28,443,icmp,PAR,27.156981,218673,46903,255,63,186,81,-,8052.1837,1727.1066,189,89,0,0,0,0,1157,527,1,420,42.813276,32.968346,1421945978,1421974232,248.916116,122.183902,0.0,0.0,0.0,0,5,3,0,0,12,7,1,2,2,3,2,Exploits,1
101.213.141.79,13513,11.175.62.110,8080,arp,ECO,59.2399,78705,61160,128,252,88,18,dns,1328.5809,1032.4123,135,44,0,0,0,0,583,1390,0,510,46.361652,7.356554,1421947104,1421995989,483.335734,311.897567,0.0,0.0,0.0,0,5,1,0,0,10,16,3,1,2,1,8,Exploits,1
111.180.0.12,17501,36.179.145.201,8080,udp,PAR,16.981038,22496,31000,127,29,143,9,dns,1324.7718,1825.5657,152,31,0,0,0,0,148,1000,5,277,7.132213,36.652657,1421984043,1422004120,459.129919,145.401013,0.0,0.0,0.0,0,0,3,0,0,12,8,4,4,2,1,15,,0
175.102.128.34,28307,142.102.154.78,53,icmp,RST,35.822328,41940,200160,128,31,36,118,snmp,1170.7782,5587.5766,45,144,0,0,0,0,932,1390,1,384,39.120287,41.692617,1421940002,1421945581,263.285698,347.066694,0.0,0.0,0.0,0,4,2,0,0,15,12,4,4,2,2,8,Exploits,1
149.191.65.158,36627,145.150.27.193,8080,tcp,CLO,57.449505,35316,27698,127,62,16,12,-,614.7311,482.1277,108,22,255,255,3604328146,363608048,327,1259,2,849,49.308676,5.352446,1422005315,1421940180,410.970067,282.7217,0.690593,0.432157,0.060721,0,4,0,0,0,7,17,2,5,3,2,3,,0
18.0.78.154,58689,31.49.126.52,53,udp,ECO,18.053533,4240,182712,64,30,3,129,pop3,234.8571,10120.5675,80,184,0,0,0,0,53,993,3,56,46.302222,14.996188,1421990816,1421951537,410.135479,420.860402,0.0,0.0,0.0,0,4,2,0,0,20,15,5,1,2,1,11,,0
123.148.148.170,7578,151.252.188.170,443,udp,CLO,8.501171,101612,58632,64,254,98,27,pop3,11952.7063,6896.9322,191,168,0,0,0,0,532,349,3,833,21.241648,1.398533,1421987324,1421943159,282.104542,5.509822,0.0,0.0,0.0,0,2,0,0,0,20,15,1,3,1,2,15,,0
181.199.32.44,44010,39.180.173.117,25,arp,INT,16.614242,43665,93730,64,252,17,84,ftp-data,2628.1668,5641.5454,41,91,0,0,0,0,1065,1030,3,69,45.808001,32.2567,1421976765,1421989247,302.920899,90.187269,0.0,0.0,0.0,0,5,2,0,0,5,11,5,5,2,3,10,Backdoors,1
174.243.165.194,16197,198.121.53.230,80,tcp,CLO,2.695748,96632,7880,62,254,107,4,-,35846.0806,2923.1219,188,40,255,0,3220946051,747613116,514,197,0,715,22.475482,6.660832,1422010958,1422002620,278.23411,97.858974,0.491103,0.339425,0.112748,0,5,1,0,0,14,17,2,1,3,1,11,DoS,1
48.254.97.213,14621,147.242.180.91,21,tcp,PAR,12.212377,27936,835,62,252,8,0,pop3,2287.5154,68.3733,36,1,255,255,3753702208,2444491041,776,835,1,801,25.862343,5.04565,1421992781,1421957635,25.739504,270.269011,0.022542,0.410664,0.144948,0,6,2,0,0,13,12,1,2,2,1,9,Worms,1
150.241.134.167,2988,9.173.215.66,80,udp,ACC,51.191713,106603,104576,31,30,15,35,ftp,2082.4269,2042.8306,157,128,0,0,0,0,679,817,4,836,36.693633,46.208713,1421935583,1421958296,246.777557,402.831036,0.0,0.0,0.0,0,4,0,0,0,12,3,4,5,3,3,15,Fuzzers,1
130.115.179.110,32323,78.116.10.238,53,arp,FIN,56.796041,8750,39405,31,254,25,136,ssl,154.06,693.7984,70,185,0,0,0,0,125,213,3,698,34.179753,0.904743,1421990613,1421934248,193.562395,188.613905,0.0,0.0,0.0,0,1,3,0,0,14,18,2,1,2,1,15,,0
151.5.116.105,50010,193.23.7.223,25,icmp,REQ,21.107346,13904,54057,64,30,7,9,-,658.728,2561.0515,88,111,0,0,0,0,158,487,1,449,9.029674,2.185971,1421973245,1422006373,327.604476,122.122172,0.0,0.0,0.0,0,2,1,0,0,20,13,4,1,3,1,2,Fuzzers,1
200.149.125.134,59546,69.163.53.13,443,udp,CLO,29.695755,92799,82628,127,252,180,79,pop3,3124.9921,2782.4852,189,91,0,0,0,0,491,908,2,80,10.177747,6.856574,1421995701,1421957630,152.469601,276.482832,0.0,0.0,0.0,0,0,2,0,0,5,2,2,4,3,2,2,Exploits,1
16.142.196.126,2259,221.195.196.113,53,arp,REQ,50.179512,87080,55806,127,30,26,48,http,1735.3696,1112.1272,70,71,0,0,0,0,1244,786,5,441,26.624597,33.020123,1421931517,1421998395,381.498156,468.611945,0.0,0.0,0.0,0,4,2,0,0,9,19,2,1,2,3,14,,0
220.237.217.146,48158,146.133.83.245,22,arp,ECO,51.944538,29172,41924,254,63,60,33,-,561.599,807.0916,187,188,0,0,0,0,156,223,2,818,34.129937,13.719641,1421960173,1421998560,147.912459,285.541316,0.0,0.0,0.0,0,0,2,0,0,12,9,3,5,1,1,5,Fuzzers,1
120.18.183.122,42819,217.111.209.14,21,icmp,CON,50.159988,45402,3955,255,29,17,78,snmp,905.1438,78.8477,46,113,0,0,0,0,987,35,2,976,3.202174,8.990195,1421963608,1421961432,434.527686,63.61124,0.0,0.0,0.0,0,5,1,0,0,5,20,1,2,1,3,1,Fuzzers,1
5.180.22.153,16405,90.55.39.129,22,arp,CON,34.793443,5566,17484,127,63,8,19,ftp,159.9727,502.5085,11,141,0,0,0,0,506,124,1,333,28.518295,41.456893,1421981935,1421936771,320.943514,437.926569,0.0,0.0,0.0,0,1,0,0,0,11,20,3,3,2,3,6,,0
28.108.160.130,47932,200.176.110.96,8080,icmp,URN,37.314982,5502,55930,63,29,2,84,http,147.4475,1498.8618,42,94,0,0,0,0,131,595,3,780,49.891043,3.922249,1421937547,1421956850,282.701192,498.906484,0.0,0.0,0.0,0,5,3,0,0,18,4,5,1,3,2,11,Generic,1
205.185.118.116,21655,192.59.123.113,25,arp,CLO,19.016361,32000,73353,128,62,23,20,smtp,1682.7615,3857.3626,50,147,0,0,0,0,640,499,4,517,3.822188,18.11485,1421990873,1422006741,115.174917,393.152071,0.0,0.0,0.0,0,1,1,0,0,18,8,4,5,3,1,10,Shellcode,1
162.101.92.224,30781,4.85.61.107,443,icmp,PAR,20.494308,27156,17240,63,254,30,3,http,1325.0508,841.2092,31,20,0,0,0,0,876,862,0,853,21.570993,34.502328,1421936984,1421944765,257.448546,264.654841,0.0,0.0,0.0,0,3,3,0,0,12,5,4,5,1,3,5,Exploits,1
19.181.229.233,27820,162.230.223.74,8080,icmp,ECO,53.845579,111882,190562,62,29,17,46,ssl,2077.8308,3539.0464,87,151,0,0,0,0,1286,1262,4,85,7.61282,0.389187,1422005146,1421975894,336.953546,226.763578,0.0,0.0,0.0,0,2,3,0,0,6,17,5,3,1,1,5,,0
83.196.163.193,12716,37.21.107.110,21,icmp,RST,2.897277,163191,139360,254,63,80,25,smtp,56325.6465,48100.337,133,134,0,0,0,0,1227,1040,2,169,5.927554,13.692425,1421984943,1421956726,442.674582,144.239411,0.0,0.0,0.0,0,2,0,0,0,8,9,2,1,1,3,14,Generic,1
214.13.189.52,19494,147.218.227.133,80,udp,ECO,1.641007,12551,55062,31,254,4,28,dns,7648.3525,33553.7874,11,138,0,0,0,0,1141,399,3,910,21.613297,13.152827,1421945347,1421963911,365.816871,58.23132,0.0,0.0,0.0,0,2,0,0,0,8,3,3,2,3,2,5,Shellcode,1
216.18.4.62,9994,151.192.112.172,80,tcp,RST,42.408588,75087,1845,128,62,60,2,pop3,1770.5612,43.5053,81,9,0,255,1213756353,3761807031,927,205,4,877,36.16418,10.709454,1421984341,1421936230,245.345576,305.608594,0.709991,0.019406,0.343991,0,4,3,0,0,19,8,3,4,3,3,3,Generic,1
140.246.151.24,15371,29.147.214.248,22,udp,ACC,52.502344,179396,159960,254,252,63,84,ssh,3416.9141,3046.7211,172,124,0,0,0,0,1043,1290,0,180,23.236797,15.945298,1421942295,1421972971,348.48429,352.409401,0.0,0.0,0.0,0,6,3,0,0,16,20,4,2,1,2,5,Exploits,1
106.200.226.108,27151,67.27.137.124,25,udp,REQ,53.388637,125055,9915,127,252,43,1,ftp-data,2342.3524,185.7137,105,15,0,0,0,0,1191,661,3,419,11.065502,43.781099,1421997670,1421954441,389.776001,55.15781,0.0,0.0,0.0,0,4,2,0,0,5,20,5,1,3,1,13,Shellcode,1
93.101.80.214,36131,102.117.148.205,80,tcp,ACC,46.826012,100792,11610,31,62,42,52,ftp,2152.4788,247.9391,86,90,0,0,2082629429,674075811,1172,129,2,24,11.500262,38.620582,1421959829,1421931841,136.229123,61.821415,0.784054,0.327638,0.065597,0,5,2,0,0,3,3,1,5,3,3,13,DoS,1
50.159.165.108,34601,191.11.154.70,22,arp,REQ,1.209251,244098,42780,62,253,25,67,ssl,201858.8366,35377.2707,191,138,0,0,0,0,1278,310,3,385,14.561933,4.65312,1421980672,1422000944,139.27895,142.211493,0.0,0.0,0.0,0,5,1,0,0,13,1,4,4,2,3,12,Backdoors,1
145.55.159.85,10446,208.42.48.143,80,arp,REQ,13.443652,3605,92415,128,254,7,75,ftp,268.1563,6874.2482,7,101,0,0,0,0,515,915,0,144,20.159754,41.90352,1421996017,1422001684,380.2908,29.466479,0.0,0.0,0.0,0,3,2,0,0,14,10,3,2,1,2,12,,0
81.120.164.118,47480,124.41.53.108,25,arp,CON,52.285675,32292,202576,255,254,48,32,-,617.607,3874.4073,69,176,0,0,0,0,468,1151,1,532,37.407438,8.309849,1421984771,1421942312,19.530974,212.091112,0.0,0.0,0.0,0,1,3,0,0,5,18,4,4,1,2,2,Fuzzers,1
37.148.104.205,41263,183.190.128.120,22,icmp,REQ,43.19658,193140,45540,128,31,84,17,http,4471.1873,1054.2501,174,69,0,0,0,0,1110,660,4,732,41.470401,0.491059,1421981979,1421950905,75.174538,33.524007,0.0,0.0,0.0,0,0,2,0,0,7,7,1,5,2,2,2,DoS,1
161.7.98.70,19648,211.218.156.94,21,arp,CLO,35.667268,24174,101905,64,252,8,71,snmp,677.7643,2857.1014,18,89,0,0,0,0,1343,1145,5,675,10.129406,29.631956,1421940911,1421955783,139.992767,131.468809,0.0,0.0,0.0,0,0,1,0,0,17,19,4,3,3,3,10,,0
37.84.243.223,1040,83.39.26.35,21,arp,ECO,12.558403,514,88600,62,31,1,170,pop3,40.9288,7055.0372,1,200,0,0,0,0,514,443,2,309,25.018755,5.864825,1422000833,1421978957,188.654776,192.764929,0.0,0.0,0.0,0,3,2,0,0,10,17,3,5,1,3,14,Exploits,1
178.128.61.142,59990,112.178.91.6,8080,udp,ACC,56.729396,23904,162890,255,254,59,171,smtp,421.3688,2871.3509,72,182,0,0,0,0,332,895,5,434,10.688998,27.989701,1421952446,1421977543,187.102929,466.596222,0.0,0.0,0.0,0,0,1,0,0,15,12,5,2,1,3,5,,0
166.140.245.101,3902,179.129.140.160,53,tcp,URN,54.662445,4290,158976,127,29,3,120,ssl,78.4817,2908.3222,65,128,255,255,746340614,446192500,66,1242,2,29,30.646025,35.665523,1421950601,1421944669,41.41231,417.032215,0.119427,0.221689,0.355295,0,2,0,0,0,18,9,2,5,3,1,6,Reconnaissance,1
107.31.33.49,55094,195.75.136.21,80,icmp,ECO,53.864188,34760,158550,31,253,2,70,ssl,645.3267,2943.5142,44,150,0,0,0,0,790,1057,1,705,25.273292,8.648411,1421927836,1421968198,136.88157,175.342389,0.0,0.0,0.0,0,2,3,0,0,19,3,5,4,1,1,15,Worms,1
202.5.111.163,25569,118.41.126.78,8080,udp,REQ,43.773023,60000,103923,31,31,47,16,ftp-data,1370.7073,2374.1335,48,81,0,0,0,0,1250,1283,0,388,35.295698,8.900202,1421945819,1422001474,157.77049,112.98019,0.0,0.0,0.0,0,1,2,0,0,7,6,3,3,3,2,5,,0
10.197.79.137,38295,54.222.177.165,8080,arp,RST,21.309186,127276,95319,255,31,26,43,snmp,5972.8232,4473.1413,94,89,0,0,0,0,1354,1071,4,849,37.156589,13.447506,1421994689,1421955033,129.106925,233.844099,0.0,0.0,0.0,0,0,0,0,0,17,6,4,2,2,3,6,,0
41.215.243.85,23088,166.51.95.233,443,arp,RST,39.498288,2286,105698,128,29,2,59,snmp,57.8759,2676.0147,9,82,0,0,0,0,254,1289,1,770,1.087498,40.461067,1421987241,1422005215,287.982601,217.484238,0.0,0.0,0.0,0,3,3,0,0,8,9,3,5,2,2,11,Reconnaissance,1
199.137.205.151,2895,42.85.153.226,21,icmp,PAR,2.407738,64680,42900,254,253,12,145,http,26863.388,17817.5532,60,195,0,0,0,0,1078,220,1,679,16.657356,47.995665,1421939262,1421967951,396.431721,70.730473,0.0,0.0,0.0,0,2,3,0,0,13,6,4,1,3,1,4,DoS,1
40.191.2.122,11465,89.51.241.140,25,icmp,CLO,18.451605,21888,53640,62,62,44,13,pop3,1186.2383,2907.0642,48,60,0,0,0,0,456,894,5,385,41.56735,35.311205,1421939973,1421978214,64.251197,381.522149,0.0,0.0,0.0,0,1,3,0,0,11,10,4,5,2,3,2,,0
95.185.174.128,54975,1.203.39.165,80,arp,INT,40.192601,74594,7476,63,62,127,1,-,1855.9137,186.0044,151,6,0,0,0,0,494,1246,1,309,21.770031,16.979333,1422013140,1421950990,212.85566,142.482062,0.0,0.0,0.0,0,3,3,0,0,2,9,4,2,1,2,11,Reconnaissance,1
42.163.65.147,34248,99.232.5.124,25,tcp,CLO,27.895362,31790,18216,254,29,13,6,ftp-data,1139.616,653.0118,22,88,255,255,3900735993,2156338089,1445,207,3,729,16.753175,26.751208,1421975237,1421942051,392.747362,490.367254,0.531712,0.191736,0.337359,0,1,0,0,0,11,19,3,2,3,3,12,Shellcode,1
13.189.129.108,23139,173.151.12.138,443,arp,INT,2.912616,21024,10020,255,252,37,5,ssh,7218.2533,3440.2063,73,10,0,0,0,0,288,1002,0,457,16.231628,31.799135,1422005503,1421942052,178.622241,18.306175,0.0,0.0,0.0,0,5,3,0,0,8,6,1,5,1,1,12,Generic,1
11.39.167.95,3533,38.51.195.131,25,arp,CON,25.866033,69438,124168,64,254,43,81,ftp-data,2684.5245,4800.4269,71,88,0,0,0,0,978,1411,3,410,1.119174,47.517944,1421961080,1422012990,371.342457,39.64164,0.0,0.0,0.0,0,3,0,0,0,7,19,3,3,3,3,9,,0
71.95.141.128,45027,12.204.92.173,443,udp,RST,41.655428,15782,91960,64,253,0,52,ftp,378.8702,2207.6355,13,95,0,0,0,0,1214,968,0,800,20.716242,6.488347,1421962417,1421988027,299.539725,487.948811,0.0,0.0,0.0,0,2,0,0,0,8,8,1,3,1,1,10,Analysis,1
