Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
445,31944442,286,342,295724,149796,1144,270,707.0,291.3,1169,968,1068.5,67.0,13946.7141,19.6591319,50866.9,24721.0,31944442,30996,31944442,50866.9,24721.0,31944442,30996,31944442,50866.9,24721.0,31944442,30996,0,0,0,0,5720,6840,8.95304,10.70609,270,1169,709.4,232.4,33909205.7,1,0,0,0,1,0,0,0,1.0,709.4,707.0,1068.5,5720,0,0,0,0,0,0,286,295724,342,149796,255,8192,285,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
443,345,1,0,864,0,263,127,195.0,45.3,392,97,244.5,98.3,2504347.8261,2898.5507246,345.0,370.0,345,71,345,345.0,370.0,345,71,0,0,0,0,0,1,0,0,0,20,0,2898.55072,0.0,97,392,864.0,864.0,746496.0,1,0,0,1,0,0,0,0,0.0,864.0,195.0,244.5,20,0,0,0,0,0,0,1,864,0,0,256,65535,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,26,5,0,1155,0,380,208,294.0,57.3,994,492,743.0,167.3,44423076.9231,192307.6923077,5.2,2.2,26,3,26,5.2,2.2,26,3,0,0,0,0,0,0,0,0,0,100,0,192307.69231,0.0,208,994,231.0,231.0,266805.0,0,0,1,0,1,0,0,0,0.0,231.0,294.0,743.0,100,0,0,0,0,0,0,5,1155,0,0,64,512,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
25,88834864,736,249,262752,96612,647,222,434.5,141.7,119,74,96.5,15.0,4045.3037,11.0879891,90187.7,132708.9,88834864,7989,88834864,90187.7,132708.9,88834864,7989,88834864,90187.7,132708.9,88834864,7989,1,0,0,0,14720,4980,8.28504,2.80295,74,647,364.8,168.7,28022842.2,1,0,0,1,0,0,0,0,0.0,364.8,434.5,96.5,14720,0,0,0,0,0,0,736,262752,249,96612,29,31,735,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
445,305,1,1,866,245,1206,504,855.0,234.0,1185,81,633.0,368.0,3642622.9508,6557.3770492,152.5,188.9,305,107,305,152.5,188.9,305,107,305,152.5,188.9,305,107,1,0,0,0,20,20,3278.68852,3278.68852,81,1206,555.5,310.5,192820.5,1,1,0,1,0,0,0,0,1.0,555.5,855.0,633.0,20,0,0,0,0,0,0,1,866,1,245,31,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,42436585,770,37,45430,34706,1312,1153,1232.5,53.0,204,18,111.0,62.0,1888.3706,19.0166103,52585.6,56543.7,42436585,33153,42436585,52585.6,56543.7,42436585,33153,42436585,52585.6,56543.7,42436585,33153,0,0,0,0,15400,740,18.14472,0.87189,18,1312,99.3,13.3,142508.3,1,0,0,0,0,0,0,0,0.0,99.3,1232.5,111.0,15400,0,0,0,0,0,0,770,45430,37,34706,31,8192,769,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
8080,94427531,310,313,427490,338979,56,42,49.0,4.7,1135,613,874.0,174.0,8117.0077,6.5976521,151569.1,282450.8,94427531,27154,94427531,151569.1,282450.8,94427531,27154,94427531,151569.1,282450.8,94427531,27154,0,0,0,0,6200,6260,3.28294,3.31471,42,1135,1230.3,142.1,12574955.3,0,1,0,0,0,0,0,0,1.0,1230.3,49.0,874.0,6200,0,0,0,0,0,0,310,427490,313,338979,8192,128,309,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
21,27326369,704,324,408320,335340,1040,514,777.0,175.3,104,11,57.5,31.0,27214.0071,37.6193412,26582.1,33721.2,27326369,9066,27326369,26582.1,33721.2,27326369,9066,27326369,26582.1,33721.2,27326369,9066,0,0,0,0,14080,6480,25.76266,11.85668,11,1040,723.4,71.0,5181012.1,0,0,0,0,1,0,0,0,0.0,723.4,777.0,57.5,14080,0,0,0,0,0,0,704,408320,324,335340,512,512,703,20,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - XSS
3389,1297846,115,38,167325,11590,1157,73,615.0,361.3,756,596,676.0,53.3,137855.3388,117.8876384,8482.7,9373.8,1297846,7041,1297846,8482.7,9373.8,1297846,7041,1297846,8482.7,9373.8,1297846,7041,1,0,0,0,2300,760,88.60836,29.27928,73,1157,1169.4,1017.9,158518890.4,0,0,0,1,0,0,0,0,0.0,1169.4,615.0,676.0,2300,0,0,0,0,0,0,115,167325,38,11590,32,128,114,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,182,5,3,6555,948,524,166,345.0,119.3,362,211,286.5,50.3,41225274.7253,43956.043956,22.8,1.1,182,10,182,22.8,1.1,182,10,182,22.8,1.1,182,10,0,0,0,0,100,60,27472.52747,16483.51648,166,524,937.9,700.9,3929806.1,1,0,0,0,0,0,0,0,1.0,937.9,345.0,286.5,100,0,0,0,0,0,0,5,6555,3,948,256,128,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,109600399,472,179,313880,83414,496,12,254.0,161.3,1351,395,873.0,318.7,3624.9321,5.9397594,168357.0,134169.1,109600399,73034,109600399,168357.0,134169.1,109600399,73034,109600399,168357.0,134169.1,109600399,73034,1,0,0,0,9440,3580,4.30655,1.63321,12,1351,610.3,354.0,81589212.2,0,1,0,1,1,0,0,0,0.0,610.3,254.0,873.0,9440,0,0,0,0,0,0,472,313880,179,83414,29,256,471,20,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
25,77925435,272,19,71264,23199,929,353,641.0,192.0,642,446,544.0,65.3,1212.2229,3.7343391,267785.0,324667.3,77925435,60631,77925435,267785.0,324667.3,77925435,60631,77925435,267785.0,324667.3,77925435,60631,0,0,0,0,5440,380,3.49052,0.24382,353,929,324.6,165.2,7938983.6,1,0,0,0,1,0,0,0,0.0,324.6,641.0,544.0,5440,0,0,0,0,0,0,272,71264,19,23199,512,128,271,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
28578,57887758,72,340,51552,433840,682,679,680.5,1.0,255,153,204.0,34.0,8385.0544,7.1172216,140504.3,142505.8,57887758,107057,57887758,140504.3,142505.8,57887758,107057,57887758,140504.3,142505.8,57887758,107057,0,0,0,0,1440,6800,1.24379,5.87344,153,682,1178.1,927.9,354718725.6,1,1,0,0,0,0,0,0,5.0,1178.1,680.5,204.0,1440,0,0,0,0,0,0,72,51552,340,433840,255,31,71,20,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection
21,40392809,416,280,16640,174160,627,215,421.0,137.3,880,804,842.0,25.3,4723.6131,17.2307898,58035.6,67319.5,40392809,42906,40392809,58035.6,67319.5,40392809,42906,40392809,58035.6,67319.5,40392809,42906,1,0,0,0,8320,5600,10.29886,6.93193,215,880,274.1,226.3,35650216.1,1,1,1,1,0,0,0,0,1.0,274.1,421.0,842.0,8320,0,0,0,0,0,0,416,16640,280,174160,31,29,415,20,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed
443,69182798,680,324,889440,222264,231,209,220.0,7.3,481,344,412.5,45.7,16069.0812,14.512278,68907.2,42780.3,69182798,26100,69182798,68907.2,42780.3,69182798,26100,69182798,68907.2,42780.3,69182798,26100,0,0,0,0,13600,6480,9.82903,4.68325,209,481,1107.3,664.5,443350413.3,0,0,0,0,1,0,0,0,0.0,1107.3,220.0,412.5,13600,0,0,0,0,0,0,680,889440,324,222264,256,512,679,20,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Brute Force
53,26096656,736,356,607936,360272,858,249,553.5,203.0,302,2,152.0,100.0,37100.8454,41.8444417,23898.0,42665.6,26096656,3492,26096656,23898.0,42665.6,26096656,3492,26096656,23898.0,42665.6,26096656,3492,1,0,0,0,14720,7120,28.20285,13.64159,2,858,886.6,226.8,56169832.3,1,0,0,1,0,0,0,0,0.0,886.6,553.5,152.0,14720,0,0,0,0,0,0,736,607936,356,360272,29,8192,735,20,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed
53,411,4,2,3784,2508,1073,873,973.0,66.7,1122,913,1017.5,69.7,15309002.4331,14598.540146,68.5,122.9,411,60,411,68.5,122.9,411,60,411,68.5,122.9,411,60,1,0,0,0,80,40,9732.3601,4866.18005,873,1122,1048.7,212.7,271362.7,1,1,0,1,1,0,0,0,0.0,1048.7,973.0,1017.5,80,0,0,0,0,0,0,4,3784,2,2508,64,8192,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
25,366,3,1,1788,687,694,553,623.5,47.0,165,35,100.0,43.3,6762295.082,10928.9617486,91.5,27.6,366,49,366,91.5,27.6,366,49,366,91.5,27.6,366,49,1,0,0,0,60,20,8196.72131,2732.24044,35,694,618.8,275.2,303050.2,0,0,0,1,1,0,0,0,0.0,618.8,623.5,100.0,60,0,0,0,0,0,0,3,1788,1,687,256,512,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,106,4,3,4944,4272,80,73,76.5,2.3,779,488,633.5,97.0,86943396.2264,66037.7358491,15.1,0.2,106,11,106,15.1,0.2,106,11,106,15.1,0.2,106,11,0,0,0,0,80,60,37735.84906,28301.88679,73,779,1316.6,96.0,64512.0,1,1,1,0,1,0,0,0,1.0,1316.6,76.5,633.5,80,0,0,0,0,0,0,4,4944,3,4272,255,8192,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,200,3,3,1134,2871,301,273,287.0,9.3,55,25,40.0,10.0,20025000.0,30000.0,33.3,39.4,200,1,200,33.3,39.4,200,1,200,33.3,39.4,200,1,1,0,0,0,60,60,15000.0,15000.0,25,301,667.5,289.5,502861.5,0,1,0,1,0,0,0,0,1.0,667.5,287.0,40.0,60,0,0,0,0,0,0,3,1134,3,2871,255,329,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,61028711,335,172,273360,97868,903,258,580.5,215.0,167,120,143.5,15.7,6082.8419,8.3075653,120372.2,4666.4,61028711,70702,61028711,120372.2,4666.4,61028711,70702,61028711,120372.2,4666.4,61028711,70702,0,0,0,0,6700,3440,5.48922,2.81835,120,903,732.2,346.1,60744461.7,0,1,0,0,0,0,0,0,1.0,732.2,580.5,143.5,6700,0,0,0,0,0,0,335,273360,172,97868,32,128,334,20,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
110,319,2,1,596,969,1411,234,822.5,392.3,1155,446,800.5,236.3,4905956.1129,9404.3887147,106.3,98.9,319,32,319,106.3,98.9,319,32,319,106.3,98.9,319,32,0,0,0,0,40,20,6269.59248,3134.79624,234,1411,521.7,124.3,46376.3,1,0,0,0,1,0,0,0,0.0,521.7,822.5,800.5,40,0,0,0,0,0,0,2,596,1,969,0,256,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
34182,90912014,385,203,171710,31465,1252,497,874.5,251.7,208,178,193.0,10.0,2234.8531,6.467792,154612.3,238870.1,90912014,31733,90912014,154612.3,238870.1,90912014,31733,90912014,154612.3,238870.1,90912014,31733,1,0,0,0,7700,4060,4.23486,2.23293,178,1252,345.5,238.5,33450102.1,0,1,1,1,0,0,0,0,1.0,345.5,874.5,193.0,7700,0,0,0,0,0,0,385,171710,203,31465,128,0,384,20,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed
53,110371388,502,54,465354,40014,1341,941,1141.0,133.3,1448,313,880.5,378.3,4578.7954,5.0375374,198509.7,172896.8,110371388,192360,110371388,198509.7,172896.8,110371388,192360,110371388,198509.7,172896.8,110371388,192360,1,0,0,0,10040,1080,4.54828,0.48926,313,1448,908.9,765.0,325385100.0,1,1,1,1,1,0,0,0,0.0,908.9,1141.0,880.5,10040,0,0,0,0,0,0,502,465354,54,40014,29,256,501,20,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
8080,32730797,769,237,928183,296013,1408,776,1092.0,210.7,688,29,358.5,219.7,37401.9612,30.7355791,32535.6,32165.1,32730797,10650,32730797,32535.6,32165.1,32730797,10650,32730797,32535.6,32165.1,32730797,10650,1,0,0,0,15380,4740,23.49469,7.24089,29,1408,1216.9,628.4,397255376.6,0,1,0,1,1,0,0,0,0.0,1216.9,1092.0,358.5,15380,0,0,0,0,0,0,769,928183,237,296013,8192,256,768,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
53,1362460,530,97,113950,47918,872,500,686.0,124.0,1137,492,814.5,215.0,118805.6897,460.1969966,2173.0,3001.4,1362460,2010,1362460,2173.0,3001.4,1362460,2010,1362460,2173.0,3001.4,1362460,2010,1,0,0,0,10600,1940,389.00225,71.19475,492,1137,258.2,105.3,6954106.9,1,0,0,1,0,0,0,0,0.0,258.2,686.0,814.5,10600,0,0,0,0,0,0,530,113950,97,47918,64,329,529,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
25,74285883,544,176,495584,198352,717,360,538.5,119.0,1439,929,1184.0,170.0,9341.4249,9.6922857,103174.8,55903.5,74285883,32951,74285883,103174.8,55903.5,74285883,32951,74285883,103174.8,55903.5,74285883,32951,1,0,0,0,10880,3520,7.32306,2.36923,360,1439,963.8,412.8,122703974.8,0,0,0,1,0,0,0,0,0.0,963.8,538.5,1184.0,10880,0,0,0,0,0,0,544,495584,176,198352,31,128,543,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Slowhttptest
80,99133839,496,141,618512,151434,1262,579,920.5,227.7,205,49,127.0,52.0,7766.7324,6.4256565,155626.1,92207.4,99133839,94602,99133839,155626.1,92207.4,99133839,94602,99133839,155626.1,92207.4,99133839,94602,0,0,0,0,9920,2820,5.00334,1.42232,49,1262,1208.7,733.2,342483293.7,0,1,0,0,1,0,0,0,0.0,1208.7,920.5,127.0,9920,0,0,0,0,0,0,496,618512,141,151434,512,256,495,20,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,327,4,0,260,0,622,480,551.0,47.3,980,451,715.5,176.3,795107.0336,12232.4159021,81.8,55.7,327,6,327,81.8,55.7,327,6,0,0,0,0,0,0,0,0,0,80,0,12232.4159,0.0,451,980,65.0,65.0,16900.0,1,1,0,0,1,0,0,0,0.0,65.0,551.0,715.5,80,0,0,0,0,0,0,4,260,0,0,8192,0,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
110,77,5,2,1070,1016,282,213,247.5,23.0,1241,1220,1230.5,7.0,27090909.0909,90909.0909091,11.0,17.4,77,3,77,11.0,17.4,77,3,77,11.0,17.4,77,3,1,0,0,0,100,40,64935.06494,25974.02597,213,1241,298.0,7.7,416.6,1,1,1,1,1,0,0,0,0.0,298.0,247.5,1230.5,100,0,0,0,0,0,0,5,1070,2,1016,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,486,2,1,1162,1352,206,40,123.0,55.3,491,88,289.5,134.3,5172839.5062,6172.8395062,162.0,178.8,486,40,486,162.0,178.8,486,40,486,162.0,178.8,486,40,1,0,0,0,40,20,4115.22634,2057.61317,40,491,838.0,63.3,12033.3,0,1,1,1,1,0,0,0,0.0,838.0,123.0,289.5,40,0,0,0,0,0,0,2,1162,1,1352,64,256,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,9553586,704,119,409024,152320,1247,405,826.0,280.7,870,117,493.5,251.0,58757.4132,86.145663,11608.2,12642.8,9553586,10610,9553586,11608.2,12642.8,9553586,10610,9553586,11608.2,12642.8,9553586,10610,0,0,0,0,14080,2380,73.68961,12.45606,117,1247,682.1,311.9,80069190.3,0,1,0,0,0,0,0,0,0.0,682.1,826.0,493.5,14080,0,0,0,0,0,0,704,409024,119,152320,8192,256,703,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
53,16690466,480,352,317760,504416,864,278,571.0,195.3,1024,1011,1017.5,4.3,49260.2184,49.8488179,20060.7,17563.5,16690466,19596,16690466,20060.7,17563.5,16690466,19596,16690466,20060.7,17563.5,16690466,19596,1,0,0,0,9600,7040,28.75893,21.08988,278,1024,988.2,224.3,41875555.7,0,1,0,1,0,0,0,0,1.0,988.2,571.0,1017.5,9600,0,0,0,0,0,0,480,317760,352,504416,65535,0,479,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
3389,77342562,42,390,16716,375570,1102,905,1003.5,65.7,569,185,377.0,128.0,5072.0585,5.5855403,179033.7,356973.7,77342562,114264,77342562,179033.7,356973.7,77342562,114264,77342562,179033.7,356973.7,77342562,114264,1,0,0,0,840,7800,0.54304,5.0425,185,1102,908.1,830.7,298093040.1,1,0,1,1,1,0,0,0,9.0,908.1,1003.5,377.0,840,0,0,0,0,0,0,42,16716,390,375570,65535,29,41,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
25,44265499,422,355,444788,209450,1396,820,1108.0,192.0,1126,75,600.5,350.3,14779.8628,17.5531739,56969.8,51822.7,44265499,20612,44265499,56969.8,51822.7,44265499,20612,44265499,56969.8,51822.7,44265499,20612,1,0,0,0,8440,7100,9.53338,8.01979,75,1396,842.0,302.9,71279246.1,1,1,0,1,0,0,0,0,1.0,842.0,1108.0,600.5,8440,0,0,0,0,0,0,422,444788,355,209450,256,512,421,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
64800,97,5,2,6575,2040,1320,905,1112.5,138.3,105,26,65.5,26.3,88814432.9897,72164.9484536,13.9,7.4,97,2,97,13.9,7.4,97,2,97,13.9,7.4,97,2,0,0,0,0,100,40,51546.39175,20618.5567,26,1320,1230.7,647.9,2938032.1,1,1,1,0,0,0,0,0,0.0,1230.7,1112.5,65.5,100,0,0,0,0,0,0,5,6575,2,2040,8192,128,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,41708178,565,7,661615,5845,230,57,143.5,57.7,232,118,175.0,38.0,16003.0966,13.7143368,72916.4,138112.5,41708178,20181,41708178,72916.4,138112.5,41708178,20181,41708178,72916.4,138112.5,41708178,20181,1,0,0,0,11300,140,13.5465,0.16783,57,232,1166.9,1146.5,751808204.4,1,1,0,1,1,0,0,0,0.0,1166.9,143.5,175.0,11300,0,0,0,0,0,0,565,661615,7,5845,32,8192,564,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22,19413517,393,97,497931,100880,319,35,177.0,94.7,565,424,494.5,47.0,30845.055,25.2401458,39619.4,26931.3,19413517,33275,19413517,39619.4,26931.3,19413517,33275,19413517,39619.4,26931.3,19413517,33275,1,0,0,0,7860,1940,20.24363,4.99652,35,565,1222.1,810.3,321733666.5,1,0,0,1,1,0,0,0,0.0,1222.1,177.0,494.5,7860,0,0,0,0,0,0,393,497931,97,100880,256,65535,392,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
21,46321752,341,282,392832,217704,972,955,963.5,5.7,659,193,426.0,155.3,13180.3305,13.4494049,74352.7,145846.5,46321752,31300,46321752,74352.7,145846.5,46321752,31300,46321752,74352.7,145846.5,46321752,31300,0,0,0,0,6820,5640,7.36155,6.08785,193,972,980.0,281.1,49229239.8,1,0,1,0,1,0,0,0,1.0,980.0,963.5,426.0,6820,0,0,0,0,0,0,341,392832,282,217704,255,512,340,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Slowhttptest
8080,254,1,1,1068,1208,719,102,410.5,205.7,901,102,501.5,266.3,8960629.9213,7874.015748,127.0,133.6,254,116,254,127.0,133.6,254,116,254,127.0,133.6,254,116,0,0,0,0,20,20,3937.00787,3937.00787,102,901,1138.0,70.0,9800.0,0,0,1,0,0,0,0,0,1.0,1138.0,410.5,501.5,20,0,0,0,0,0,0,1,1068,1,1208,128,512,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
